orientation_time_list,orientation_s_list,orientation_i_list,orientation_j_list,orientation_k_list
0.41600000000000004,1.0,0.0,0.1,-0.2
0.424,1.0,0.0,0.1,-0.2
0.432,1.0,-0.1,0.1,-0.2
0.44,1.0,-0.1,0.1,-0.2
0.448,1.0,-0.1,0.1076923076923077,-0.2
0.456,1.0,-0.1,0.11794871794871797,-0.2
0.464,1.0,-0.1,0.12820512820512822,-0.2
0.47200000000000003,1.0,-0.1,0.1384615384615385,-0.2
0.48,1.0,-0.1,0.1487179487179487,-0.2
0.488,1.0,-0.1,0.15897435897435896,-0.2
0.496,1.0,-0.1,0.16923076923076924,-0.2
0.504,1.0,-0.1,0.1794871794871795,-0.2
0.512,1.0,-0.1,0.18974358974358974,-0.2
0.52,1.0,-0.1,0.2,-0.2
0.528,1.0,-0.1,0.2,-0.1
0.536,1.0,-0.10987654320987657,0.2,-0.1
0.544,1.0,-0.11975308641975312,0.2,-0.1
0.552,1.0,-0.12962962962962968,0.2,-0.1
0.56,1.0,-0.13950617283950623,0.2,-0.1
0.5680000000000001,1.0,-0.1493827160493828,0.2,-0.1
0.5760000000000001,1.0,-0.15925925925925935,0.2,-0.1
0.584,1.0,-0.16913580246913576,0.2,-0.1
0.592,1.0,-0.1790123456790123,0.2,-0.1
0.6,1.0,-0.18888888888888888,0.2,-0.1
0.608,1.0,-0.19876543209876543,0.2,-0.1
0.616,0.9,-0.2,0.3,-0.1
0.624,0.9,-0.2,0.3,-0.1
0.632,0.9,-0.2,0.3,-0.1
0.64,0.9,-0.2,0.3,-0.1
0.648,0.9,-0.2,0.3,-0.1
0.656,0.9,-0.2,0.3,-0.1
0.664,0.9,-0.2,0.3,-0.1
0.672,0.9,-0.2,0.3,-0.1
0.68,0.9,-0.2,0.3,-0.1
0.6880000000000001,0.9,-0.2,0.3,-0.1
0.6960000000000001,0.9,-0.2,0.3,-0.1
0.704,0.9,-0.2,0.3,-0.1
0.712,0.9,-0.2,0.3,-0.1
0.72,0.9,-0.2,0.3,-0.1
0.728,0.9,-0.2,0.3,-0.1
0.736,0.9,-0.2,0.3,-0.1
0.744,0.9,-0.2,0.3,-0.1
0.752,0.9,-0.2,0.3,-0.1
0.76,0.9,-0.2,0.3,-0.1
0.768,0.9,-0.2,0.4,-0.033333333333333326
0.776,0.9,-0.2,0.4,0.0
0.784,0.9,-0.2,0.4,0.0
0.792,0.9,-0.2,0.4,0.0
0.8,0.9,-0.2,0.4,0.0
0.808,0.9,-0.2,0.4,0.0
0.8160000000000001,0.9,-0.2,0.4,0.0
0.8240000000000001,0.9,-0.2,0.4,0.0
0.8320000000000001,0.9,-0.20000000000000556,0.4000000000000056,0.0
0.84,0.8,-0.3,0.5,0.1
0.848,0.8,-0.3,0.5,0.1
0.856,0.8,-0.3,0.5,0.1
0.864,0.8,-0.3,0.5,0.1
0.872,0.8,-0.3,0.5,0.1
0.88,0.8,-0.3,0.5,0.1
0.888,0.8,-0.3,0.5,0.1
0.896,0.8,-0.3,0.5,0.1
0.904,0.8,-0.3,0.5,0.1
0.912,0.8,-0.3,0.5,0.1
0.92,0.8,-0.3,0.5,0.1
0.928,0.8,-0.3,0.5,0.1
0.936,0.8,-0.3,0.5,0.1
0.9440000000000001,0.8,-0.3,0.5800000000000008,0.1
0.9520000000000001,0.7333333333333321,-0.3,0.6,0.1
0.96,0.7,-0.3,0.6,0.1
0.968,0.7,-0.3,0.6,0.1
0.976,0.7,-0.3,0.6,0.1
0.984,0.7,-0.3,0.6,0.1
0.992,0.7,-0.3,0.6,0.1
1.0,0.7,-0.3,0.6,0.1
1.008,0.7,-0.3,0.6,0.1
1.016,0.7,-0.3,0.6,0.1
1.024,0.7,-0.3,0.6,0.1
1.032,0.7,-0.3,0.6,0.1
1.04,0.7,-0.3,0.6,0.1
1.048,0.7,-0.3,0.6,0.1
1.056,0.7,-0.3,0.6,0.1
1.064,0.7,-0.3,0.6,0.1
1.072,0.7,-0.3,0.6,0.1
1.08,0.7,-0.3,0.6,0.1
1.088,0.7,-0.3,0.6,0.1
1.096,0.7,-0.3,0.6,0.1
1.104,0.7,-0.3,0.6,0.1
1.112,0.7,-0.3,0.6,0.1
1.12,0.7,-0.3,0.6,0.1
1.1280000000000001,0.7,-0.3,0.6,0.1
1.1360000000000001,0.7,-0.3,0.6,0.1
1.1440000000000001,0.7,-0.3,0.6,0.1
1.1520000000000001,0.7,-0.3,0.6,0.1
1.16,0.7,-0.3,0.6,0.1
1.168,0.7,-0.3,0.7,0.1
1.176,0.7,-0.3,0.7,0.1
1.184,0.7,-0.3,0.7,0.1
1.192,0.7,-0.3,0.7,0.1
1.2,0.7,-0.3,0.7,0.1
1.208,0.7,-0.3,0.7,0.1
1.216,0.7,-0.3,0.7,0.1
1.224,0.7,-0.3,0.7,0.1
1.232,0.7,-0.3,0.7,0.1
1.24,0.7,-0.3,0.7,0.1
1.248,0.7,-0.3,0.7,0.1
1.256,0.7,-0.3,0.7,0.1
1.264,0.7,-0.3,0.7,0.1
1.272,0.7,-0.3,0.7,0.1
1.28,0.7,-0.3,0.7,0.1
1.288,0.7,-0.3,0.7,0.1
1.296,0.7,-0.3,0.7,0.1
1.304,0.7,-0.3,0.7,0.1
1.312,0.7,-0.3,0.7,0.1
1.32,0.7,-0.3,0.7,0.1
1.328,0.7,-0.3,0.7,0.1
1.336,0.7,-0.3,0.7,0.1
1.344,0.7,-0.3,0.7,0.1
1.352,0.7,-0.3,0.7,0.1
1.36,0.7,-0.3,0.7,0.1
1.368,0.7,-0.3,0.7,0.1
1.3760000000000001,0.7,-0.3,0.7,0.1
1.3840000000000001,0.7,-0.3,0.7,0.1
1.3920000000000001,0.7,-0.3,0.7,0.1
1.4000000000000001,0.7,-0.3,0.7,0.1
1.408,0.7,-0.3,0.7,0.1
1.416,0.7,-0.3,0.7,0.1
1.424,0.7,-0.3,0.7,0.1
1.432,0.7,-0.3,0.7,0.1
1.44,0.7,-0.3,0.7,0.1
1.448,0.7,-0.3,0.6922330097087378,0.1
1.456,0.7,-0.3,0.6844660194174756,0.1
1.464,0.7,-0.3,0.6766990291262135,0.1
1.472,0.7,-0.3,0.6689320388349513,0.1
1.48,0.7,-0.3,0.6611650485436893,0.1
1.488,0.7,-0.3,0.6533980582524271,0.1
1.496,0.7,-0.3,0.645631067961165,0.1
1.504,0.7,-0.3,0.6378640776699028,0.1
1.512,0.7,-0.3,0.6300970873786407,0.1
1.52,0.7,-0.3,0.6223300970873785,0.1
1.528,0.7,-0.3,0.6145631067961164,0.1
1.536,0.7,-0.3,0.6067961165048542,0.1
1.544,0.7,-0.3,0.6,0.1
1.552,0.7,-0.3,0.6,0.1
1.56,0.6984615384615382,-0.4,0.6,0.2
1.568,0.686153846153846,-0.4,0.6,0.2
1.576,0.6738461538461537,-0.4,0.6,0.2
1.584,0.6615384615384614,-0.4,0.6,0.2
1.592,0.6492307692307691,-0.4,0.6,0.2
1.6,0.6369230769230768,-0.4,0.6,0.2
1.608,0.6246153846153846,-0.4,0.6,0.2
1.616,0.6123076923076922,-0.4,0.6,0.2
1.624,0.6,-0.4,0.6,0.2
1.6320000000000001,0.6,-0.4,0.6,0.2
1.6400000000000001,0.6,-0.4,0.6,0.2
1.6480000000000001,0.6,-0.4,0.6,0.2
1.6560000000000001,0.6,-0.4,0.6,0.2
1.6640000000000001,0.6,-0.4,0.6,0.2
1.672,0.6,-0.4,0.6,0.2
1.68,0.6,-0.4,0.6,0.2
1.688,0.6,-0.4,0.6,0.2
1.696,0.6,-0.4,0.6,0.2
1.704,0.6,-0.4,0.6,0.2
1.712,0.6,-0.4,0.6,0.2
1.72,0.6,-0.4,0.6,0.2
1.728,0.6,-0.4,0.6,0.2
1.736,0.6,-0.5,0.6,0.24285714285714194
1.744,0.5,-0.5,0.6,0.3
1.752,0.5,-0.5,0.6,0.3
1.76,0.5,-0.5,0.6,0.3
1.768,0.5,-0.5,0.6,0.3
1.776,0.5,-0.5,0.6,0.3
1.784,0.5,-0.5,0.6,0.3
1.792,0.5,-0.5,0.6,0.3
1.8,0.5,-0.5,0.6,0.3
1.808,0.5,-0.5,0.6,0.3
1.816,0.5,-0.5,0.6,0.3
1.824,0.5,-0.5,0.6,0.3
1.832,0.5,-0.5,0.6,0.3
1.84,0.5,-0.6,0.6,0.3
1.848,0.5,-0.6,0.6,0.3
1.856,0.5,-0.6,0.6,0.3
1.864,0.5,-0.6,0.6,0.3
1.872,0.5,-0.6,0.6,0.3
1.8800000000000001,0.5,-0.6,0.6,0.3
1.8880000000000001,0.5,-0.6,0.6,0.3
1.8960000000000001,0.5,-0.6,0.6,0.3
1.9040000000000001,0.5,-0.6,0.6,0.3
1.9120000000000001,0.5,-0.6,0.6,0.3
1.92,0.5,-0.6,0.6,0.3
1.928,0.5,-0.6,0.6,0.3
1.936,0.5,-0.6,0.6,0.3
1.944,0.5,-0.6,0.575,0.3
1.952,0.5,-0.6,0.5,0.3
1.96,0.5,-0.6333333333333309,0.5,0.3
1.968,0.5,-0.7,0.5,0.3
1.976,0.5,-0.7,0.5,0.3
1.984,0.5,-0.7,0.5,0.3
1.992,0.5,-0.7,0.5,0.3
2.0,0.5,-0.7,0.5,0.3
2.008,0.5,-0.7,0.5,0.3
2.016,0.5,-0.7,0.5,0.3
2.024,0.5,-0.7,0.5,0.3
2.032,0.4,-0.7,0.5,0.3
2.04,0.4,-0.7,0.4,0.3
2.048,0.4,-0.7,0.4,0.3
2.056,0.4,-0.7,0.4,0.3
2.064,0.4,-0.7,0.4,0.3
2.072,0.4,-0.7,0.4,0.3
2.08,0.4,-0.7,0.4,0.3
2.088,0.4,-0.7,0.4,0.3
2.096,0.4,-0.7,0.4,0.3
2.104,0.4,-0.7,0.4,0.3
2.112,0.4,-0.7,0.4,0.3
2.12,0.4,-0.7,0.4,0.3
2.128,0.4,-0.7,0.4,0.3
2.136,0.4,-0.7,0.4,0.3
2.144,0.4,-0.7,0.4,0.3
2.152,0.4,-0.8,0.4,0.3
2.16,0.5,-0.7,0.4,0.2666666666666568
2.168,0.5,-0.7,0.4,0.2
2.176,0.5,-0.7,0.4,0.2
2.184,0.5,-0.7,0.4,0.2
2.192,0.5,-0.7,0.4,0.2
2.2,0.5,-0.7,0.4,0.2
2.208,0.5,-0.7,0.4,0.2
2.216,0.5,-0.7,0.4,0.2
2.224,0.5,-0.7,0.4,0.2
2.232,0.5,-0.7,0.4,0.2
2.24,0.5333333333333432,-0.7,0.4,0.2
2.248,0.6,-0.7,0.4,0.15999999999999912
2.2560000000000002,0.6,-0.6799999999999973,0.4,0.1
2.2640000000000002,0.6000000000000006,-0.6,0.4,0.1
2.2720000000000002,0.6117647058823535,-0.6,0.4,0.1
2.2800000000000002,0.6235294117647066,-0.6,0.4,0.1
2.2880000000000003,0.6352941176470595,-0.6,0.4,0.1
2.2960000000000003,0.6470588235294124,-0.6,0.4,0.1
2.3040000000000003,0.6588235294117654,-0.6,0.4,0.1
2.312,0.6705882352941176,-0.6,0.4,0.1
2.32,0.6823529411764706,-0.6,0.4,0.1
2.328,0.6941176470588235,-0.6,0.4,0.1
2.336,0.7,-0.6,0.4,0.03333333333333581
2.344,0.7,-0.5857142857142875,0.4,0.0
2.352,0.7,-0.5,0.4,-0.002631578947368129
2.36,0.7,-0.5,0.4,-0.013157894736841815
2.368,0.7,-0.5,0.4,-0.0236842105263155
2.376,0.7,-0.5,0.4,-0.034210526315789185
2.384,0.7,-0.5,0.4,-0.044736842105262874
2.392,0.7,-0.5,0.4,-0.055263157894736556
2.4,0.7,-0.5,0.4,-0.06578947368421025
2.408,0.7,-0.5,0.4,-0.07631578947368392
2.416,0.7,-0.5,0.4,-0.08684210526315761
2.424,0.7,-0.5,0.4,-0.0973684210526313
2.432,0.8,-0.4666666666666716,0.4333333333333284,-0.1
2.44,0.8,-0.4,0.5,-0.1
2.448,0.8,-0.4,0.5,-0.1
2.456,0.8,-0.4,0.5,-0.1
2.464,0.8,-0.4,0.5,-0.1
2.472,0.8,-0.4,0.5,-0.1
2.48,0.8,-0.4,0.5,-0.1
2.488,0.8,-0.4,0.5,-0.1
2.496,0.8,-0.4,0.5,-0.1
2.504,0.8,-0.4,0.5,-0.1
2.512,0.8,-0.4,0.5,-0.1
2.52,0.8,-0.4,0.5,-0.1
2.528,0.8,-0.4,0.5,-0.1
2.536,0.8,-0.4,0.5,-0.1
2.544,0.8,-0.4,0.5,-0.1
2.552,0.8,-0.4,0.5,-0.1
2.56,0.8,-0.4,0.5,-0.1
2.568,0.8,-0.4,0.5,-0.1
2.576,0.8,-0.4,0.5,-0.1
2.584,0.8,-0.4,0.5,-0.1
2.592,0.8,-0.4,0.5,-0.1
2.6,0.8,-0.4,0.5,-0.1
2.608,0.8,-0.4,0.5,-0.1
2.616,0.8,-0.4,0.5,-0.1
2.624,0.8,-0.4,0.5,-0.1
2.632,0.8,-0.4,0.5,-0.1
2.64,0.8,-0.4,0.5,-0.1
2.648,0.7499999999999889,-0.4500000000000111,0.5,-0.0499999999999889
2.656,0.6,-0.6,0.5,0.0
2.664,0.6,-0.6,0.5,0.0
2.672,0.6,-0.6,0.5,0.0
2.68,0.6,-0.6,0.5,0.0
2.688,0.6,-0.6,0.5,0.0
2.696,0.6,-0.6,0.5,0.0
2.704,0.6,-0.6,0.5,0.0
2.712,0.6,-0.6,0.5,0.0
2.72,0.6,-0.6,0.5,0.0
2.728,0.6,-0.6,0.5,0.0
2.736,0.7,-0.5499999999999889,0.5,0.0
2.744,0.8,-0.4,0.5,-0.1
2.7520000000000002,0.8,-0.4,0.5,-0.1
2.7600000000000002,0.8,-0.4,0.5,-0.1
2.7680000000000002,0.8,-0.4,0.5,-0.1
2.7760000000000002,0.8,-0.4,0.5,-0.1
2.7840000000000003,0.8,-0.4,0.5,-0.1
2.7920000000000003,0.8,-0.4,0.5,-0.1
2.8000000000000003,0.8,-0.4,0.5,-0.1
2.8080000000000003,0.8,-0.4,0.5,-0.1
2.816,0.8,-0.4,0.5,-0.1
2.824,0.8,-0.4,0.5,-0.1
2.832,0.8,-0.3285714285714313,0.5,-0.1
2.84,0.8,-0.3,0.5,-0.1011627906976743
2.848,0.8,-0.3,0.5,-0.11046511627906967
2.856,0.8,-0.3,0.5,-0.11976744186046505
2.864,0.8,-0.3,0.5,-0.1290697674418604
2.872,0.8,-0.3,0.5,-0.1383720930232558
2.88,0.8,-0.3,0.5,-0.14767441860465116
2.888,0.8,-0.3,0.5,-0.15697674418604654
2.896,0.8,-0.3,0.5,-0.16627906976744192
2.904,0.8,-0.3,0.5,-0.1755813953488373
2.912,0.8,-0.3,0.5,-0.18488372093023264
2.92,0.8,-0.3,0.5,-0.19418604651162802
2.928,0.8,-0.3,0.5,-0.2
2.936,0.8,-0.3,0.5,-0.2
2.944,0.8,-0.3,0.5,-0.2
2.952,0.8,-0.3,0.5,-0.2
2.96,0.8,-0.3,0.5,-0.2
2.968,0.8,-0.3,0.5,-0.2
2.976,0.8,-0.3,0.5,-0.2
2.984,0.8,-0.3,0.5,-0.2
2.992,0.8,-0.3,0.5,-0.2
3.0,0.8,-0.3,0.5,-0.2
3.008,0.8,-0.3,0.5,-0.2
3.016,0.8,-0.3,0.5,-0.2
3.024,0.8,-0.3,0.5,-0.2
3.032,0.8,-0.3,0.5,-0.2
3.04,0.8,-0.3,0.5,-0.2
3.048,0.8,-0.4,0.5,-0.2
3.056,0.8,-0.4,0.5,-0.2
3.064,0.8,-0.392405063291139,0.5,-0.2
3.072,0.8,-0.382278481012658,0.5,-0.2
3.08,0.8,-0.372151898734177,0.5,-0.2
3.088,0.8,-0.36202531645569597,0.5,-0.2
3.096,0.8,-0.35189873417721496,0.5,-0.2
3.104,0.8,-0.341772151898734,0.5,-0.2
3.112,0.8,-0.331645569620253,0.5,-0.2
3.12,0.8,-0.321518987341772,0.5,-0.2
3.128,0.8,-0.31139240506329097,0.5,-0.2
3.136,0.8,-0.30126582278480996,0.5,-0.2
3.144,0.8,-0.3,0.5,-0.2
3.152,0.8,-0.3,0.4,-0.2
3.16,0.8,-0.3,0.4,-0.2
3.168,0.8,-0.3,0.4,-0.2
3.176,0.8,-0.3,0.4,-0.2
3.184,0.8,-0.3,0.4,-0.2
3.192,0.8,-0.3,0.4,-0.2
3.2,0.8,-0.3,0.4,-0.2
3.208,0.8,-0.3,0.4,-0.2
3.216,0.8,-0.3,0.4,-0.2
3.224,0.8,-0.3,0.4,-0.2
3.232,0.8,-0.3,0.41000000000000114,-0.2
3.24,0.8,-0.3,0.4500000000000011,-0.2
3.248,0.8,-0.3,0.4900000000000011,-0.2
3.2560000000000002,0.7333333333333284,-0.4,0.5,-0.13333333333332842
3.2640000000000002,0.7,-0.4104477611940301,0.5,-0.1
3.2720000000000002,0.7,-0.42238805970149285,0.5,-0.1
3.2800000000000002,0.7,-0.4343283582089556,0.5,-0.1
3.2880000000000003,0.7,-0.4462686567164183,0.5,-0.1
3.2960000000000003,0.7,-0.45820895522388105,0.5,-0.1
3.3040000000000003,0.7,-0.4701492537313438,0.5,-0.1
3.3120000000000003,0.7,-0.48208955223880656,0.5,-0.1
3.3200000000000003,0.7,-0.4940298507462693,0.5,-0.1
3.3280000000000003,0.6333333333333284,-0.5666666666666715,0.5,-0.1
3.336,0.6333333333333284,-0.5666666666666715,0.5,0.0
3.344,0.7,-0.5,0.5,0.0
3.352,0.7,-0.5,0.5,0.0
3.36,0.7,-0.5,0.5,0.0
3.368,0.7,-0.5,0.5,0.0
3.376,0.7,-0.5,0.5,0.0
3.384,0.7,-0.5,0.5,0.0
3.392,0.7,-0.5,0.5,0.0
3.4,0.7,-0.5,0.5,0.0
3.408,0.7,-0.5,0.5,0.0
3.416,0.7,-0.5,0.5,0.0
3.424,0.7,-0.5,0.5,0.0
3.432,0.7,-0.5,0.5,0.0
3.44,0.7,-0.5,0.5,0.0
3.448,0.7,-0.43333333333333335,0.5,0.0
3.456,0.7,-0.4,0.5875000000000014,0.0
3.464,0.7,-0.49692307692307724,0.6,0.09692307692307726
3.472,0.7,-0.48461538461538495,0.6,0.08461538461538494
3.48,0.7,-0.4723076923076926,0.6,0.0723076923076926
3.488,0.7,-0.4600000000000003,0.6,0.060000000000000275
3.496,0.7,-0.44769230769230794,0.6,0.04769230769230794
3.504,0.7,-0.43538461538461565,0.6,0.03538461538461561
3.512,0.7,-0.4230769230769233,0.6,0.023076923076923286
3.52,0.7,-0.410769230769231,0.6,0.010769230769230961
3.528,0.7,-0.4,0.55,0.0
3.536,0.7,-0.5266666666666665,0.5,0.1
3.544,0.7,-0.5799999999999994,0.5,0.1
3.552,0.6,-0.603896103896104,0.49610389610389594,0.10389610389610406
3.56,0.6,-0.6142857142857144,0.48571428571428554,0.11428571428571446
3.568,0.6,-0.6246753246753248,0.47532467532467515,0.12467532467532486
3.576,0.6,-0.6350649350649352,0.46493506493506476,0.13506493506493528
3.584,0.6,-0.6454545454545456,0.45454545454545436,0.14545454545454567
3.592,0.6,-0.655844155844156,0.44415584415584397,0.1558441558441561
3.6,0.6,-0.6662337662337664,0.4337662337662335,0.16623376623376648
3.608,0.6,-0.6766233766233768,0.42337662337662313,0.1766233766233769
3.616,0.6,-0.6870129870129873,0.41298701298701274,0.1870129870129873
3.624,0.6,-0.6974025974025977,0.40259740259740234,0.1974025974025977
3.632,0.4666666666666568,-0.8,0.4,0.2
3.64,0.4,-0.8,0.4,0.19436619718309858
3.648,0.4,-0.8,0.4,0.1830985915492957
3.656,0.4,-0.8,0.4,0.17183098591549284
3.664,0.4,-0.8,0.4,0.16056338028168995
3.672,0.4,-0.8,0.4,0.1492957746478871
3.68,0.4,-0.8,0.4,0.1380281690140842
3.688,0.4,-0.8,0.4,0.12676056338028135
3.696,0.4,-0.8,0.4,0.11549295774647848
3.704,0.4,-0.8,0.4,0.10422535211267561
3.712,0.5,-0.7,0.5,0.1
3.72,0.6333333333333432,-0.5666666666666568,0.5,0.0
3.728,0.7,-0.5,0.5,-0.004958677685950601
3.736,0.7,-0.5,0.5,-0.011570247933884491
3.744,0.7,-0.5,0.5,-0.018181818181818382
3.7520000000000002,0.7,-0.5,0.5,-0.02479338842975227
3.7600000000000002,0.7,-0.5,0.5,-0.03140495867768616
3.7680000000000002,0.7,-0.5,0.5,-0.038016528925620054
3.7760000000000002,0.7,-0.5,0.5,-0.044628099173553946
3.7840000000000003,0.7,-0.5,0.5,-0.05123966942148783
3.7920000000000003,0.7,-0.5,0.5,-0.057851239669421725
3.8000000000000003,0.7,-0.5,0.5,-0.06446280991735562
3.8080000000000003,0.7,-0.5,0.5,-0.07107438016528951
3.8160000000000003,0.7,-0.5,0.5,-0.07768595041322339
3.8240000000000003,0.7,-0.5,0.5,-0.08429752066115728
3.8320000000000003,0.7,-0.5,0.5,-0.09090909090909118
3.84,0.7,-0.5,0.5,-0.0975206611570247
3.848,0.7,-0.4,0.5,-0.13333333333333086
3.856,0.7,-0.4,0.5,-0.2
3.864,0.7,-0.4,0.5,-0.2
3.872,0.7,-0.4,0.5,-0.2
3.88,0.7,-0.4,0.5,-0.2
3.888,0.7,-0.4,0.5,-0.2
3.896,0.7,-0.4,0.5,-0.2
3.904,0.7,-0.4,0.5,-0.2
3.912,0.7,-0.4,0.5,-0.2
3.92,0.7,-0.4,0.5,-0.2
3.928,0.7,-0.4,0.5,-0.2
3.936,0.75,-0.4,0.5,-0.2
3.944,0.7666666666666716,-0.4,0.5,-0.2
3.952,0.7,-0.4,0.5,-0.2
3.96,0.7,-0.4,0.5,-0.2
3.968,0.7,-0.4,0.5,-0.2
3.976,0.7,-0.4,0.5,-0.2
3.984,0.7,-0.4,0.5,-0.2
3.992,0.7,-0.4,0.5,-0.2
4.0,0.7,-0.4,0.5,-0.2
4.008,0.7,-0.4,0.5,-0.2
4.016,0.7,-0.4,0.5,-0.2
4.024,0.7,-0.4,0.5,-0.2
4.032,0.7,-0.4,0.5,-0.2
4.04,0.7,-0.4,0.5,-0.2
4.048,0.7,-0.5,0.5,-0.1
4.056,0.7,-0.5,0.5,-0.1
4.064,0.7,-0.5,0.5,-0.1
4.072,0.7,-0.5,0.5,-0.1
4.08,0.7,-0.5,0.5,-0.1
4.088,0.7,-0.5,0.5,-0.1
4.096,0.7,-0.5,0.5,-0.1
4.104,0.7,-0.5,0.5,-0.1
4.112,0.7,-0.5,0.5,-0.1
4.12,0.7,-0.5,0.5,-0.1
4.128,0.7,-0.5,0.5,-0.1
4.136,0.6,-0.5,0.5,-0.1
4.144,0.6,-0.5,0.5,-0.1
4.152,0.6,-0.5,0.5,-0.1
4.16,0.6,-0.5,0.5,-0.1
4.168,0.6,-0.5,0.5,-0.1
4.176,0.6,-0.5,0.5,-0.1
4.184,0.6,-0.5,0.5,-0.1
4.192,0.6,-0.5,0.5,-0.1
4.2,0.6,-0.5,0.5,-0.1
4.208,0.6,-0.5,0.5,-0.1
4.216,0.6,-0.5,0.5,-0.1
4.224,0.6,-0.5,0.5,-0.1
4.232,0.6,-0.5,0.5,-0.1
4.24,0.6,-0.5,0.5,-0.1
4.248,0.6,-0.5666666666666765,0.5,-0.1
4.256,0.6,-0.6,0.5,-0.1
4.264,0.6,-0.6,0.5,-0.1
4.272,0.6,-0.6,0.5,-0.1
4.28,0.6,-0.6,0.5,-0.1
4.288,0.6,-0.6,0.5,-0.1
4.296,0.6,-0.6,0.5,-0.1
4.304,0.6,-0.6,0.5,-0.1
4.312,0.6,-0.6,0.5,-0.1
4.32,0.6,-0.6,0.5,-0.1
4.328,0.6,-0.6,0.5,-0.1
4.336,0.6,-0.6,0.5,-0.1
4.344,0.6,-0.6,0.5,-0.1
4.352,0.6,-0.6,0.5,-0.1
4.36,0.6,-0.6,0.5,-0.1
4.368,0.6,-0.6,0.5,-0.1
4.376,0.6,-0.6,0.5,-0.1
4.384,0.6,-0.6,0.5,-0.1
4.392,0.6,-0.6,0.5,-0.1
4.4,0.6,-0.6,0.5,-0.1
4.408,0.6,-0.6,0.5,-0.1
4.416,0.6,-0.6,0.5,-0.1
4.424,0.6,-0.6,0.5,-0.1
4.432,0.7,-0.5,0.5,-0.1
4.44,0.7,-0.5,0.5,-0.1
4.448,0.7,-0.5,0.5,-0.1
4.456,0.7,-0.5,0.5,-0.1
4.464,0.7,-0.5,0.5,-0.1
4.472,0.7,-0.5,0.5,-0.1
4.48,0.7,-0.5,0.5,-0.1
4.488,0.7,-0.5,0.5,-0.1
4.496,0.7,-0.5,0.5,-0.1
4.5040000000000004,0.7,-0.5,0.5,-0.1
4.5120000000000005,0.7,-0.5,0.5,-0.1
4.5200000000000005,0.7,-0.5,0.5,-0.1
4.5280000000000005,0.7,-0.5,0.5,-0.1
4.5360000000000005,0.7,-0.4777777777777712,0.5,-0.1
4.5440000000000005,0.7333333333333432,-0.4,0.5,-0.1333333333333432
4.5520000000000005,0.8,-0.3962264150943392,0.5,-0.2
4.5600000000000005,0.8,-0.38867924528301845,0.5,-0.2
4.5680000000000005,0.8,-0.3811320754716977,0.5,-0.2
4.5760000000000005,0.8,-0.3735849056603769,0.5,-0.2
4.5840000000000005,0.8,-0.36603773584905613,0.5,-0.2
4.5920000000000005,0.8,-0.3584905660377353,0.5,-0.2
4.6000000000000005,0.8,-0.3509433962264146,0.5,-0.2
4.6080000000000005,0.8,-0.3433962264150938,0.5,-0.2
4.616,0.8,-0.33584905660377384,0.5,-0.2
4.624,0.8,-0.3283018867924531,0.5,-0.2
